NPN;token_frequency;preposition;reduplicated_noun;number_of_noun;syntactic_function;meaning;
bestseller dopo bestseller;1;dopo;bestseller;sg;modifier;succession/iteration/distributivity;
bianco su bianco;5;su;bianco;sg;modifier;juxtaposition/contact;
bianco su bianco;1;su;bianco;sg;nominal;greater_plurality/accumulation;
bicchiere dopo bicchiere;2;dopo;bicchere;sg;modifier;succession/iteration/distributivity;
bicchiere su bicchiere;1;su;bicchiere;sg;modifier;succession/iteration/distributivity;
bidonville per bidonville;1;per;bidonville;sg;modifier;succession/iteration/distributivity;
biglietto per biglietto;1;per;biglietto;sg;modifier;succession/iteration/distributivity;
bilancio dopo bilancio;1;dopo;bilancio;sg;modifier;succession/iteration/distributivity;
bimestre dopo bimestre;1;dopo;bimestre;sg;modifier;succession/iteration/distributivity;
bimestre per bimestre;1;per;bimestre;sg;modifier;succession/iteration/distributivity;
bisogni su bisogni;1;su;bisogno;pl;nominal;greater_plurality/accumulation;
bit a bit;5;a;bit;sg;modifier;succession/iteration/distributivity;
bit per bit;1;per;bit;sg;modifier;succession/iteration/distributivity;
bivacco dopo bivacco;1;dopo;bivacco;sg;modifier;succession/iteration/distributivity;
bizzarria per bizzarria;1;per;bizzarria;sg;modifier;succession/iteration/distributivity;
bizzarro per bizzarro;1;per;bizzarro;sg;clause;inescapable_presupposition;
blocco contro blocco;1;contro;blocco;sg;nominal;idiosyncratic;
bocca a bocca;68;a;bocca;sg;modifier;juxtaposition/contact;
bocca a bocca;3;a;bocca;sg;nominal;idiosyncratic;
boccone dopo boccone;1;dopo;boccone;sg;modifier;succession/iteration/distributivity;
bordo contro bordo;1;contro;bordo;sg;modifier;juxtaposition/contact;
borotalco su borotalco;1;su;borotalco;sg;nominal;greater_plurality/accumulation;
bottiglie su bottiglie;1;su;bottiglia;pl;nominal;greater_plurality/accumulation;
bottone dopo bottone;2;dopo;bottone;sg;modifier;succession/iteration/distributivity;
bottone per bottone;1;per;bottone;sg;modifier;succession/iteration/distributivity;
bozzi su bozzi;1;su;bozzo;pl;nominal;greater_plurality/accumulation;
bracciata dopo bracciata;2;dopo;bracciata;sg;modifier;succession/iteration/distributivity;
braccio a braccio;1;a;braccio;sg;modifier;juxtaposition/contact;
braccio contro braccio;1;contro;braccio;sg;modifier;juxtaposition/contact;
braccio dopo braccio;1;dopo;braccio;sg;modifier;succession/iteration/distributivity;
brandello dopo brandello;1;dopo;brandello;sg;modifier;succession/iteration/distributivity;
brandello su brandello;1;su;brandello;sg;modifier;succession/iteration/distributivity;
brani su brani;1;su;brano;pl;nominal;greater_plurality/accumulation;
brano a brano;5;a;brano;sg;modifier;succession/iteration/distributivity;
brano dopo brano;1;dopo;brano;sg;modifier;succession/iteration/distributivity;
brano per brano;3;per;brano;sg;modifier;succession/iteration/distributivity;
briciola dopo briciola;1;dopo;briciola;sg;modifier;succession/iteration/distributivity;
bruciatura per bruciatura;1;per;bruciatura;sg;modifier;succession/iteration/distributivity;
buca dopo buca;1;dopo;buca;sg;modifier;succession/iteration/distributivity;
bugie su bugie;1;su;bugia;pl;nominal;greater_plurality/accumulation;
bullone per bullone;1;per;bullone;sg;modifier;succession/iteration/distributivity;
business verso business;1;verso;business;sg;modifier;connection/transition;
busta per busta;1;per;busta;sg;modifier;succession/iteration/distributivity;
byte per byte;1;per;byte;sg;modifier;succession/iteration/distributivity;
cablaggio dopo cablaggio;1;dopo;cablaggio;sg;modifier;succession/iteration/distributivity;
caduta dopo caduta;1;dopo;caduta;sg;modifier;succession/iteration/distributivity;
caffè su caffè;1;su;caffè;sg/pl;nominal;greater_plurality/accumulation;
calcolatore per calcolatore;1;per;calcolatore;sg;modifier;succession/iteration/distributivity;
calle per calle;1;per;calle;sg;modifier;succession/iteration/distributivity;
cambiali su cambiali;1;su;cambiale;pl;nominal;greater_plurality/accumulation;
camera dopo camera;1;dopo;camera;sg;modifier;succession/iteration/distributivity;
campagna dopo campagna;1;dopo;campagna;sg;modifier;succession/iteration/distributivity;
campanile per campanile;1;per;campanile;sg;modifier;succession/iteration/distributivity;
campi su campi;1;su;campo;pl;nominal;greater_plurality/accumulation;
campo contro campo;1;contro;campo;sg;nominal;idiosyncratic;
campo dopo campo;2;dopo;campo;sg;modifier;succession/iteration/distributivity;
campo per campo;1;per;campo;sg;modifier;succession/iteration/distributivity;
candidato dietro candidato;1;dietro;candidato;sg;modifier;succession/iteration/distributivity;
cannoncino dopo cannoncino;1;dopo;cannoncino;sg;modifier;succession/iteration/distributivity;
cantiere dopo cantiere;2;dopo;cantiere;sg;modifier;succession/iteration/distributivity;
canto dopo canto;1;dopo;canto;sg;modifier;succession/iteration/distributivity;
canto per canto;2;per;canto;sg;modifier;succession/iteration/distributivity;
cantone per cantone;2;per;cantone;sg;modifier;succession/iteration/distributivity;
canzone dopo canzone;3;dopo;canzone;sg;modifier;succession/iteration/distributivity;
canzone su canzone;1;su;canzone;sg;modifier;succession/iteration/distributivity;
capelli per capelli;1;per;capello;pl;modifier;succession/iteration/distributivity;
capelli su capelli;1;su;capello;pl;modifier;juxtaposition/contact;
capitolo dopo capitolo;8;dopo;capitolo;sg;modifier;succession/iteration/distributivity;
capitolo per capitolo;17;per;capitolo;sg;modifier;succession/iteration/distributivity;
capo per capo;2;per;capo;sg;modifier;succession/iteration/distributivity;
capolavori su capolavori;1;su;capolavoro;pl;nominal;greater_plurality/accumulation;
capoverso per capoverso;1;per;capoverso;sg;modifier;succession/iteration/distributivity;
capziosità per capziosità;1;per;capziosità;sg;clause;inescapable_presupposition;
caraffe su caraffe;1;su;caraffa;pl;nominal;greater_plurality/accumulation;
carattere per carattere;6;per;carattere;sg;modifier;succession/iteration/distributivity;
carezza per carezza;1;per;carezza;sg;modifier;succession/iteration/distributivity;
carne contro carne;2;contro;carne;sg;modifier;juxtaposition/contact;
carta contro carta;1;contro;carta;sg;modifier;exchange;
carta dopo carta;2;dopo;carta;sg;modifier;succession/iteration/distributivity;
carta per carta;2;per;carta;sg;modifier;succession/iteration/distributivity;
carte su carte;2;su;carta;pl;nominal;greater_plurality/accumulation;
cartello dopo cartello;1;dopo;cartello;sg;modifier;succession/iteration/distributivity;
casa per casa;103;per;casa;sg;modifier;succession/iteration/distributivity;
case su case;1;su;casa;pl;nominal;greater_plurality/accumulation;
casella per casella;2;per;casella;sg;modifier;succession/iteration/distributivity;
casi su casi;1;su;caso;pl;nominal;greater_plurality/accumulation;
caso da caso;1;da;caso;sg;modifier;succession/iteration/distributivity;
caso per caso;503;per;caso;sg;modifier;succession/iteration/distributivity;
casse su casse;2;su;cassa;pl;nominal;greater_plurality/accumulation;
cassette su cassette;1;su;cassetta;pl;nominal;greater_plurality/accumulation;
cassetto dopo cassetto;1;dopo;cassetto;sg;modifier;succession/iteration/distributivity;
categoria per categoria;7;per;categoria;sg;modifier;succession/iteration/distributivity;
cattiveria dopo cattiveria;1;dopo;cattiveria;sg;modifier;succession/iteration/distributivity;
causa per causa;1;per;causa;sg;modifier;succession/iteration/distributivity;
cazzate su cazzate;1;su;cazzata;pl;nominal;greater_plurality/accumulation;
cedimento dopo cedimento;1;dopo;cedimento;sg;modifier;succession/iteration/distributivity;
cella per cella;1;per;cella;sg;modifier;succession/iteration/distributivity;
cellula dopo cellula;4;dopo;cellula;sg;modifier;succession/iteration/distributivity;
cellula per cellula;2;per;cellula;sg;modifier;succession/iteration/distributivity;
cene su cene;1;su;cena;pl;nominal;greater_plurality/accumulation;
cenno dopo cenno;1;dopo;cenno;sg;modifier;succession/iteration/distributivity;
centesimo per centesimo;2;per;centesimo;sg;modifier;succession/iteration/distributivity;
centesimo su centesimo;1;su;centesimo;sg;modifier;succession/iteration/distributivity;
centimetro dopo centimetro;15;dopo;centimetro;sg;modifier;succession/iteration/distributivity;
centimetro per centimetro;28;per;centimetro;sg;modifier;succession/iteration/distributivity;
centimetro su centimetro;1;su;centimetro;sg;modifier;succession/iteration/distributivity;
cerchio dopo cerchio;1;dopo;cerchio;sg;modifier;succession/iteration/distributivity;
cerchio su cerchio;1;su;cerchio;sg;modifier;succession/iteration/distributivity;
certificati su certificati;1;su;certificato;pl;nominal;greater_plurality/accumulation;
certificato per certificato;1;per;certificato;sg;modifier;succession/iteration/distributivity;
cespuglio per cespuglio;1;per;cespuglio;sg;modifier;succession/iteration/distributivity;
chiacchiere su chiacchiere;1;su;chiacchera;pl;nominal;greater_plurality/accumulation;
chiamate su chiamate;1;su;chiamata;pl;nominal;greater_plurality/accumulation;
chiarezza per chiarezza;1;per;chiarezza;sg;clause;inescapable_presupposition;
chicco dopo chicco;1;dopo;chicco;sg;modifier;succession/iteration/distributivity;
chilo dopo chilo;1;dopo;chilo;sg;modifier;succession/iteration/distributivity;
chilometri su chilometri;4;su;chilometro;pl;nominal;greater_plurality/accumulation;
chilometro dopo chilometro;3;dopo;chilometro;sg;modifier;succession/iteration/distributivity;
chilometro per chilometro;5;per;chilometro;sg;modifier;succession/iteration/distributivity;
chilometro su chilometro;1;su;chilometro;sg;modifier;succession/iteration/distributivity;
chiodo per chiodo;2;per;chiodo;sg;modifier;succession/iteration/distributivity;
ciclo per ciclo;1;per;ciclo;sg;modifier;succession/iteration/distributivity;
cifra dopo cifra;1;dopo;cifra;sg;modifier;succession/iteration/distributivity;
cifra per cifra;4;per;cifra;sg;modifier;succession/iteration/distributivity;
cifre su cifre;2;su;cifra;pl;nominal;greater_plurality/accumulation;
ciocca a ciocca;1;a;ciocca;sg;modifier;succession/iteration/distributivity;
ciocca dopo ciocca;2;dopo;ciocca;sg;modifier;succession/iteration/distributivity;
ciocca per ciocca;1;per;ciocca;sg;modifier;succession/iteration/distributivity;
circonferenze su circonferenze;1;su;circonferenza;pl;nominal;greater_plurality/accumulation;
citazione dopo citazione;1;dopo;citazione;sg;modifier;succession/iteration/distributivity;
citazioni su citazioni;1;su;citazione;pl;nominal;greater_plurality/accumulation;
città dopo città;2;dopo;città;sg;modifier;succession/iteration/distributivity;
città per città;31;per;città;sg;modifier;succession/iteration/distributivity;
cittadella per cittadella;1;per;cittadella;sg;modifier;succession/iteration/distributivity;
cittadino per cittadino;1;per;cittadino;sg;modifier;succession/iteration/distributivity;
citto per citto;1;per;citto;sg;modifier;succession/iteration/distributivity;
classe per classe;6;per;classe;sg;modifier;succession/iteration/distributivity;
clausola per clausola;1;per;clausola;sg;modifier;succession/iteration/distributivity;
clic dopo clic;1;dopo;clic;sg;modifier;succession/iteration/distributivity;
clic per clic;1;per;clic;sg;modifier;succession/iteration/distributivity;
cliente per cliente;1;per;cliente;sg;modifier;succession/iteration/distributivity;
collana sopra collana;1;sopra;collana;sg;modifier;succession/iteration/distributivity;
collegio per collegio;5;per;collegio;sg;modifier;succession/iteration/distributivity;
collezione per collezione;1;per;collezione;sg;modifier;succession/iteration/distributivity;
collo contro collo;1;contro;collo;sg;modifier;juxtaposition/contact;
colloqui su colloqui;1;su;colloquio;pl;nominal;greater_plurality/accumulation;
colore per colore;1;per;colore;sg;modifier;succession/iteration/distributivity;
colore su colore;1;su;colore;sg;modifier;juxtaposition/contact;
colpi su colpi;1;su;colpo;pl;nominal;greater_plurality/accumulation;
colpo dietro colpo;1;dietro;colpo;sg;modifier;succession/iteration/distributivity;
colpo dopo colpo;6;dopo;colpo;sg;modifier;succession/iteration/distributivity;
colpo per colpo;2;per;colpo;sg;modifier;succession/iteration/distributivity;
colpo su colpo;58;su;colpo;sg;modifier;succession/iteration/distributivity;
colpo su colpo;7;su;colpo;sg;nominal;greater_plurality/accumulation;
coltura per coltura;1;per;coltura;sg;modifier;succession/iteration/distributivity;
comandi su comandi;1;su;comando;pl;nominal;greater_plurality/accumulation;
comando dopo comando;1;dopo;comando;sg;modifier;succession/iteration/distributivity;
comizio dopo comizio;2;dopo;comizio;sg;modifier;succession/iteration/distributivity;
comma per comma;2;per;comma;sg;modifier;succession/iteration/distributivity;
comò per comò;2;per;comò;sg;modifier;succession/iteration/distributivity;
compagnia per compagnia;1;per;compagnia;sg;modifier;succession/iteration/distributivity;
comparto per comparto;2;per;comparto;sg;modifier;succession/iteration/distributivity;
Comune per Comune;5;per;comune;sg;modifier;succession/iteration/distributivity;
comunicati su comunicati;1;su;comunicato;pl;nominal;greater_plurality/accumulation;
comunicazioni su comunicazioni;1;su;comunicazione;pl;nominal;greater_plurality/accumulation;
comunità per comunità;2;per;comunità;sg;modifier;succession/iteration/distributivity;
concerto dopo concerto;3;dopo;concerto;sg;modifier;succession/iteration/distributivity;
concessione per concessione;1;per;concessione;sg;modifier;succession/iteration/distributivity;
confidenza per confidenza;1;per;confidenza;sg;clause;inescapable_presupposition;
consenso dopo consenso;1;dopo;consenso;sg;modifier;succession/iteration/distributivity;
contatto dopo contatto;2;dopo;contatto;sg;modifier;succession/iteration/distributivity;
conti su conti;1;su;conto;pl;nominal;greater_plurality/accumulation;
continente per continente;2;per;continente;sg;modifier;succession/iteration/distributivity;
controlli su controlli;2;su;controllo;pl;nominal;greater_plurality/accumulation;
copia dopo copia;1;dopo;copia;sg;modifier;succession/iteration/distributivity;
copie su copie;2;su;copia;pl;nominal;greater_plurality/accumulation;
coppa su coppa;1;su;coppa;sg;modifier;succession/iteration/distributivity;
coppe su coppe;1;su;coppa;pl;nominal;greater_plurality/accumulation;
cordone contro cordone;2;contro;cordone;sg;modifier;juxtaposition/contact;
core a core;1;a;core;sg;modifier;juxtaposition/contact;
corna su corna;1;su;corna;pl;nominal;greater_plurality/accumulation;
cornicione dopo cornicione;1;dopo;cornicione;sg;modifier;succession/iteration/distributivity;
corpi su corpi;1;su;corpo;pl;nominal;greater_plurality/accumulation;
corpo a corpo;50;a;corpo;sg;modifier;juxtaposition/contact;
corpo a corpo;152;a;corpo;sg;nominal;idiosyncratic;
corpo contro corpo;2;contro;corpo;sg;modifier;juxtaposition/contact;
corsi su corsi;1;su;corso;pl;nominal;greater_plurality/accumulation;
corso per corso;1;per;corso;sg;modifier;succession/iteration/distributivity;
coscia su coscia;1;su;coscia;sg;modifier;juxtaposition/contact;
cratere dopo cratere;1;dopo;cratere;sg;modifier;succession/iteration/distributivity;
crediti su crediti;2;su;credito;pl;nominal;greater_plurality/accumulation;
creme su creme;2;su;crema;pl;nominal;greater_plurality/accumulation;
crisi dopo crisi;1;dopo;crisi;sg;modifier;succession/iteration/distributivity;
crosta su crosta;1;su;crosta;sg;modifier;succession/iteration/distributivity;
cruscotto per cruscotto;1;per;cruscotto;sg;modifier;succession/iteration/distributivity;
cuoio su cuoio;1;su;cuoio;sg;modifier;juxtaposition/contact;
cuore a cuore;4;a;cuore;sg;modifier;juxtaposition/contact;
cura per cura;1;per;cura;sg;modifier;succession/iteration/distributivity;
cure su cure;1;su;cura;pl;nominal;greater_plurality/accumulation;
curiosità per curiosità;1;per;curiosità;sg;clause;inescapable_presupposition;
curva dopo curva;10;dopo;curva;sg;modifier;succession/iteration/distributivity;
curva per curva;1;per;curva;sg;modifier;succession/iteration/distributivity;
curve su curve;1;su;curva;pl;nominal;greater_plurality/accumulation;
danni su danni;2;su;danno;pl;nominal;greater_plurality/accumulation;
dati su dati;2;su;dato;pl;nominal;greater_plurality/accumulation;
debiti su debiti;1;su;debito;pl;nominal;greater_plurality/accumulation;
debito su debito;1;su;debito;sg;nominal;greater_plurality/accumulation;
decade dopo decade;1;dopo;decade;sg;modifier;succession/iteration/distributivity;
decenni dopo decenni;1;dopo;decennio;pl;modifier;succession/iteration/distributivity;
decennio dopo decennio;11;dopo;decennio;sg;modifier;succession/iteration/distributivity;
decennio per decennio;3;per;decennio;sg;modifier;succession/iteration/distributivity;
decimale dopo decimale;1;dopo;decimale;sg;modifier;succession/iteration/distributivity;
decine su decine;1;su;decina;pl;nominal;greater_plurality/accumulation;
delegazioni su delegazioni;1;su;delegazione;pl;nominal;greater_plurality/accumulation;
dente per dente;27;per;dente;sg;modifier;idiosyncratic;
denti contro denti;1;contro;dente;sg;modifier;juxtaposition/contact;
dentino per dentino;1;per;dentino;sg;modifier;succession/iteration/distributivity;
denunce su denunce;2;su;denuncia;pl;nominal;greater_plurality/accumulation;
deputato per deputato;1;per;deputato;sg;modifier;succession/iteration/distributivity;
descrizioni su descrizioni;1;su;descrizione;pl;nominal;greater_plurality/accumulation;
dettagli su dettagli;1;su;dettaglio;pl;nominal;greater_plurality/accumulation;
dettaglio per dettaglio;2;per;dettaglio;sg;modifier;succession/iteration/distributivity;
dettaglio su dettaglio;2;su;dettaglio;sg;modifier;succession/iteration/distributivity;
dicembre su dicembre;2;su;dicembre;sg;modifier;connection/transition;
dichiarazione su dichiarazione;1;su;dichiarazione;sg;modifier;succession/iteration/distributivity;
dichiarazioni su dichiarazioni;2;su;dichiarazione;pl;nominal;greater_plurality/accumulation;
diete su diete;1;su;dieta;pl;nominal;greater_plurality/accumulation;
digiuno su digiuno;1;su;digiuno;sg;nominal;greater_plurality/accumulation;
diocesi per diocesi;1;per;diocesi;sg;modifier;succession/iteration/distributivity;
dischetto dopo dischetto;1;dopo;dischetto;sg;modifier;succession/iteration/distributivity;
discorso per discorso;1;per;discorso;sg;modifier;succession/iteration/distributivity;
discussioni su discussioni;2;su;discussione;pl;nominal;greater_plurality/accumulation;
disegno per disegno;1;per;disegno;sg;modifier;succession/iteration/distributivity;
disostruzione dopo disostruzione;1;dopo;disostruzione;sg;modifier;succession/iteration/distributivity;
dispaccio dopo dispaccio;1;dopo;dispaccio;sg;modifier;succession/iteration/distributivity;
distretto dopo distretto;1;dopo;distretto;sg;modifier;succession/iteration/distributivity;
distretto per distretto;2;per;distretto;sg;modifier;succession/iteration/distributivity;
dito a dito;1;a;dito;sg;modifier;idiosyncratic;
dito per dito;1;per;dito;sg;modifier;succession/iteration/distributivity;
docce su docce;1;su;doccia;pl;nominal;greater_plurality/accumulation;
documento dopo documento;1;dopo;documento;sg;modifier;succession/iteration/distributivity;
dolore su dolore;1;su;dolore;sg;nominal;greater_plurality/accumulation;
dolori su dolori;2;su;dolore;pl;nominal;greater_plurality/accumulation;
domande su domande;5;su;domande;pl;nominal;greater_plurality/accumulation;
domenica dopo domenica;14;dopo;domenica;sg;modifier;succession/iteration/distributivity;
domenica per domenica;10;per;domenica;sg;modifier;succession/iteration/distributivity;
dominazione dopo dominazione;1;dopo;dominazione;sg;modifier;succession/iteration/distributivity;
dominio dopo dominio;1;dopo;dominio;sg;modifier;succession/iteration/distributivity;
dorso a dorso;2;a;dorso;sg;modifier;juxtaposition/contact;
dorso contro dorso;1;contro;dorso;sg;modifier;juxtaposition/contact;
dritto per dritto;2;per;dritto;sg;modifier;succession/iteration/distributivity;
dubbi su dubbi;2;su;dubbio;pl;nominal;greater_plurality/accumulation;
edificio per edificio;2;per;edificio;sg;modifier;succession/iteration/distributivity;
edificio per edificio;1;per;edificio;sg;nominal;succession/iteration/distributivity;
edizione dopo edizione;6;dopo;edizione;sg;modifier;succession/iteration/distributivity;
edizione per edizione;1;per;edizione;sg;modifier;succession/iteration/distributivity;
elemento per elemento;1;per;elemento;sg;modifier;succession/iteration/distributivity;
elezione dopo elezione;1;dopo;elezione;sg;modifier;succession/iteration/distributivity;
eliminazione dopo eliminazione;1;dopo;eliminazione;sg;modifier;succession/iteration/distributivity;
email su email;2;su;email;sg/pl;nominal;greater_plurality/accumulation;
emendamenti su emendamenti;1;su;emendamento;pl;nominal;greater_plurality/accumulation;
emendamento dopo emendamento;2;dopo;emendamento;sg;modifier;succession/iteration/distributivity;
emulsione contro emulsione;1;contro;emulsione;sg;modifier;juxtaposition/contact;
ente per ente;3;per;ente;sg;modifier;succession/iteration/distributivity;
episodi su episodi;1;su;episodio;pl;nominal;greater_plurality/accumulation;
episodio dopo episodio;2;dopo;episodio;sg;modifier;succession/iteration/distributivity;
errore dopo errore;2;dopo;errore;sg;modifier;succession/iteration/distributivity;
errori dopo errori;1;dopo;errore;pl;nominal;greater_plurality/accumulation;
errori su errori;4;su;errore;pl;nominal;greater_plurality/accumulation;
esame dopo esame;1;dopo;esame;sg;modifier;succession/iteration/distributivity;
esami su esami;3;su;esame;pl;nominal;greater_plurality/accumulation;
esempi su esempi;1;su;esempio;pl;nominal;greater_plurality/accumulation;
esercizi su esercizi;1;su;esercizio;pl;nominal;greater_plurality/accumulation;
esercizio dopo esercizio;1;dopo;esercizio;sg;modifier;succession/iteration/distributivity;
esercizio per esercizio;1;per;esercizio;sg;modifier;succession/iteration/distributivity;
esposizione dopo esposizione;1;dopo;esposizione;sg;modifier;succession/iteration/distributivity;
estate dopo estate;5;dopo;estate;sg;modifier;succession/iteration/distributivity;
estate su estate;1;su;estate;sg;modifier;connection/transition;
estati su estati;1;su;estate;pl;nominal;greater_plurality/accumulation;
estero per estero;1;per;esterp;sg;modifier;succession/iteration/distributivity;
estero su estero;11;su;estero;sg;modifier;connection/transition;
età per età;7;per;età;sg;modifier;succession/iteration/distributivity;
etape dopo etape;1;dopo;etape;sg;modifier;succession/iteration/distributivity;
eternità contro eternità;1;contro;eternità;sg;modifier;unclear;
ettaro dopo ettaro;2;dopo;ettaro;sg;modifier;succession/iteration/distributivity;
ettaro per ettaro;1;per;ettaro;sg;modifier;succession/iteration/distributivity;
euro su euro;1;su;euro;sg/pl;modifier;succession/iteration/distributivity;
euro su euro;1;su;euro;sg/pl;nominal;greater_plurality/accumulation;
evento per evento;1;per;evento;sg;modifier;succession/iteration/distributivity;
fabbrica per fabbrica;2;per;fabbrica;sg;modifier;succession/iteration/distributivity;
