ID;NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;meaning;syntactic_function
;corpo a corpo;idiosyncratic;a;corpo;Drndic ingaggia una sfida con l'oblio, un doloroso;corpo a corpo;: ciò che torna, torna per lampi, presagi a rovescio, indizi materiali, fonti fragilissime di un'archeologia dell'altroieri.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E ancora: a Poitiers Carlo Martello riesce a fermare l'espansione degli arabi in Europa perché impone ai suoi fanti di attendere i cavalieri berberi a piè fermo per il;corpo a corpo;, evitando così la trappola della tattica evasiva musulmana dell'«al - qarr wa al - farr», cioè dell'attacco seguito da una programmata ritirata, mirante a illudere l'avversario, per poi portare un improvviso e inatteso nuovo attacco.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Queste si frequentano, ma non permettono di costruire un;corpo a corpo;con i libri.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Cerchiamo libri in cui il sentimento deflagra, in cui la verità non è solo nello stile o nella forma, ma nella stessa pregnanza della parola, dove gli scrittori mettono in gioco se stessi, si mostrano al lettore in modo arrendevole, in un atto ultimativo, eppure proprio in questa loro arrendevolezza è già insita l'aggressione, il;corpo a corpo;che intraprendono con ciò che intendono raccontare.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Si è barricato nel suo tugurio, impegnato in un interminabile;corpo a corpo;con la suscettibile divinità cibernetica.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Cominciò il;corpo a corpo;tra la folla e la milizia e più nessuno ebbe pietà: il leone affamato non strappa così a brano a brano l'antilope che ha ucciso e che sta mangiando.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Arrivarono altri battaglioni della milizia che circondarono la spianata e aprirono il fuoco concentrico volendo una carneficina feroce che non risparmiò neppure i miliziani sopravvissuti al;corpo a corpo;con la folla, ma ancora nella spianata.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Interminabili marce nel sole, esercitazioni al poligono, addestramenti nel;corpo a corpo;, scoppi simulati per abituarsi a calcolare la distanza di un colpo: sfacchinate da lasciarti secco.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Nell'insieme, grazieal mio tempestivo intervento, fu un combattimento a distanza, tranne qualche punto in cui ci furono dei;corpo a corpo;, alla luce dei falò e del sole che ormai si stava alzando.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E son salve di cannone, colpi di moschetto, mentre i temi si affrontano in un;corpo a corpo;"da rimanerci schiantati; e meno male che ero già sordo.";sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Non mi stupii visto che stava affrontando il piano in un;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Non mi spostò la mano, fui io a ritirarla per far perdurare l'attesa di un;corpo a corpo;senza vinti, per due vincitori.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;E poi, obiettivamente, la sua utilità in un;corpo a corpo;era tutta da dimostrare.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Nei precedenti;corpo a corpo;avevo avuto fortuna, ma in quel momento ero disarmato di gondole e nessun vigile passava di lì a distrarlo.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Fu quella notte che le spaccai il cranio con la mazza in un;corpo a corpo;rischioso.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Feroce fu la lotta nel;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Poreda sembra muoversi meglio nel;corpo a corpo; (sta' zitto bastardo , sta' zitto) l'arbitro divide i due pugili.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;L'arcivescovo era abbastanza grande e grosso, di corpo e di dottrina, da presidiare con successo la motoretta anche contro l'intero sinodo frisone, senza contare che aspettava da tempo un;corpo a corpo;con il cardinale di Trastevere che troppo rozzamente usava le mani al posto di Sua Santità.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Parmenione, che pure lo aveva osservato combattere tre anni prima a Cheronea, rimase attonito e sgomento al vederlo immergersi nel;corpo a corpo;, dimentico di tutto, come in preda a un furore incontrollabile, animato da un vigore inesauribile, urlando, mietendo i nemici con la spada e con l'ascia, spingendo Bucefalo, corazzato di bronzo, contro le file avversarie fino ad aprire un varco in cui trascinarsi dietro la cavalleria pesante e la fanteria d'assalto.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;In un primo momento, i tebani dovettero arretrare non potendo sopportare l'impatto formidabile della falange, ma quando vennero al;corpo a corpo;su un terreno più accidentato dimostrarono la loro superiorità cosicché, per ore e ore, le sorti del combattimento sembrarono sospese, quasi gli dei le avessero messe sui piatti di una bilancia in perfetto equilibrio.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;In battaglia erano feroci come belve, e nel;corpo a corpo;si eccitavano al punto da strappare a morsi le carni degli avversari.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Erano guerrieri traci e triballi, feroci come belve, e correvano sui lati scagliando nugoli di frecce e giavellotti, aspettando di potersi gettare nel;corpo a corpo;appena avessero visto il nemico esausto e dissanguato.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Poi la cavalleria persiana volse in fuga, inseguita dagli eteri, dai tessali e dalla velocissima cavalleria leggera dei traci e dei triballi, ormai scatenati in furibondi;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Dovettero impugnare i giavellotti per tenerli a bada, ma nel buio non riuscivano a prendere la mira e men che meno a usare archi e frecce, sicché spesso si trovavano improvvisamente aggrediti e dovevano ingaggiare un;corpo a corpo;usando il pugnale.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Il terreno accidentato e scivoloso, la presenza di rocce sul greto e sulla sponda disgregarono lo schieramento macedone e i greci si gettarono nelle fratture impegnando gli eteri in furibondi;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Quando il sole cominciava ormai a declinare verso il mare, i traci e gli agriani ebbero finalmente ragione della cavalleria persiana che avevano fronteggiato, si radunarono e andarono a dare man forte ai reparti di fanteria impegnati nell'aspro;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Parte degli agriani intanto, esaurite le frecce, avevano messo mano ai coltellacci e si erano gettati nella mischia trascinati dal loro furore barbarico, ingaggiando selvaggi;corpo a corpo;con i cavalieri nemici che passavano come spettri nella densa foschia.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;La cavalleria di Alessandro scavalcò d'impeto il terrapieno che proteggeva alle spalle il presidio, e la fanteria seguì subito dopo impegnando i difensori in un duro;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Colti di sorpresa e presi completamente nel mezzo, gli sciti dovettero impegnare il;corpo a corpo;ammassati in uno spazio troppo breve e senza la possibilità di sfuggire sui lati.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Superata la linea dei carri, Alessandro lanciò all'assalto la cavalleria sulle ali, impegnando un furioso;corpo a corpo;contro la cavalleria indiana che si batteva con grande valore.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Philip sentì un crampo allo stomaco vedendo la testa rotolare fra i piedi del suo cavallo ma si fece forza e spronò nuovamente verso la carovana asserragliata dove un gruppo di beduini erano riusciti a piombare sui difensori impegnandoli in un;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Anche gli uomini con le mitragliatrici si volsero ma non potevano sparare per non colpire i compagni che già erano impegnati nel;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Altri due squadroni si lanciarono contro i Blemmi sparando con i fucili a ripetizione, martellando di colpi la superficie del deserto e altri ancora si gettavano dai cavalli ingaggiando un selvaggio;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Se bisticciavamo, lo facevamo con la stessa aggressività, menando botte secche, senza risse o confusi;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Questo;corpo a corpo;permanente genera in me una tenerezza tinta di sensualità.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Io approfitto di questi;corpo a corpo;così calorosi, di questi sguardi di complicità con lei.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Per poco fu evitato un;corpo a corpo;con una massiccia segretaria che sosteneva che il signor Stephano era al momento troppo occupato.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Se si fosse buttato su Ramses, impegnandolo in un;corpo a corpo;per strangolarlo con le sue mani enormi, sarebbero riusciti a scoccarle senza ferire il figlio di Sethi?;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Olivia gettò un'occhiata tagliente nella sua direzione, pronta ad affrontare un altro;corpo a corpo;, ma pareva che lui non avesse più nulla da dire.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Colpi e schianti di un inequivocabile;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Il turbine degli uomini in blu arrivò molto vicino, finché parve che ci sarebbe stato davvero un terribile;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;"Siccome alcuni 'schivavano di bere' vi furono frequenti 'scaramuccie qua e là' prima che la giornata si chiudesse; a volte con orribili aggiunte di calci, lotta";corpo a corpo;e morsi.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Quanto ai giovani eroi, essi potevano diventare adatti solo in seguito al più ferreo addestramento fra di loro: nella lotta libera, nel;corpo a corpo;e nell'arte di maneggiare le armi.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Promuovono un metronomo a idolo per poi abbattere anche quello e passare, tra di loro, al;corpo a corpo;.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;È una competizione feroce e rabbiosa, un;corpo a corpo;tra giudici e amici dei giudici e letterati o pseudoletterati in preda a complessi di rancore e risarcimento, è un carosello di bugie, promesse, giuramenti, cabale, compravendita di voti, che si ripetono ogni anno.;sg;idiosyncratic;nominal
;corpo a corpo;idiosyncratic;a;corpo;Il;corpo a corpo;con la madre.;sg;idiosyncratic;nominal
